FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;
05/may/2021;7,71288; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
06/may/2021;7,71170; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
07/may/2021;7,71133; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
08/may/2021;7,71133; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
09/may/2021;7,71133; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
10/may/2021;7,71048; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
11/may/2021;7,70861; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
12/may/2021;7,71034; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
13/may/2021;7,70898; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
14/may/2021;7,71020; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
15/may/2021;7,71020; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
16/may/2021;7,71020; 27,89 ; 27,09 ; 21,79 ; 16,84 ; 120,00 ; 4,80 ;
17/may/2021;7,70923; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
18/may/2021;7,70920; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
19/may/2021;7,71246; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
20/may/2021;7,71203; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
21/may/2021;7,71822; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
22/may/2021;7,71822; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
23/may/2021;7,71822; 27,90 ; 27,09 ; 21,79 ; 16,99 ; 120,00 ; 4,80 ;
24/may/2021;7,71544; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
25/may/2021;7,71791; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
26/may/2021;7,71942; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
27/may/2021;7,72190; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
28/may/2021;7,72459; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
29/may/2021;7,72459; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
30/may/2021;7,72459; 27,88 ; 27,08 ; 21,78 ; 16,62 ; 120,00 ; 4,80 ;
31/may/2021;7,72117; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
01/jun/2021;7,72935; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
02/jun/2021;7,72179; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
03/jun/2021;7,72533; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
04/jun/2021;7,72994; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
05/jun/2021;7,72994; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
06/jun/2021;7,72994; 28,01 ; 27,22 ; 22,29 ; 16,45 ; 120,00 ; 4,80 ;
07/jun/2021;7,72393; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
08/jun/2021;7,72481; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
09/jun/2021;7,73186; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
10/jun/2021;7,73802; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
11/jun/2021;7,74072; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
12/jun/2021;7,74072; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
13/jun/2021;7,74072; 27,99 ; 27,20 ; 22,58 ; 16,78 ; 120,00 ; 4,80 ;
14/jun/2021;7,73700; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
15/jun/2021;7,73582; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
16/jun/2021;7,74111; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
17/jun/2021;7,74153; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
18/jun/2021;7,74443; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
19/jun/2021;7,74443; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
20/jun/2021;7,74443; 28,19 ; 27,40 ; 22,70 ; 17,04 ; 120,00 ; 4,80 ;
21/jun/2021;7,73757; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
22/jun/2021;7,73800; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
23/jun/2021;7,74412; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
24/jun/2021;7,74428; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
25/jun/2021;7,75033; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
26/jun/2021;7,75033; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
27/jun/2021;7,75033; 27,68 ; 26,86 ; 21,88 ; 17,29 ; 120,00 ; 4,80 ;
28/jun/2021;7,75033; 27,68 ; 26,86 ; 21,88 ; 17,59 ; 120,00 ; 4,80 ;
29/jun/2021;7,75033; 27,60 ; 26,80 ; 21,81 ; 17,59 ; 120,00 ; 4,80 ;
30/jun/2021;7,74404; 27,60 ; 26,80 ; 21,81 ; 17,59 ; 120,00 ; 4,80 ;
01/jul/2021;7,74400; 27,60 ; 26,80 ; 21,81 ; 17,59 ; 120,00 ; 4,80 ;
02/jul/2021;7,74502; 27,60 ; 26,80 ; 21,81 ; 17,59 ; 120,00 ; 4,80 ;
03/jul/2021;7,74502; 27,60 ; 26,80 ; 21,81 ; 17,59 ; 120,00 ; 4,80 ;
04/jul/2021;7,74502; 27,60 ; 26,80 ; 21,81 ; 17,59 ; 120,00 ; 4,80 ;
05/jul/2021;7,74235; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
06/jul/2021;7,74274; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
07/jul/2021;7,74339; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
08/jul/2021;7,72481; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
09/jul/2021;7,73186; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
10/jul/2021;7,73802; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
11/jul/2021;7,74072; 28,78 ; 27,98 ; 22,97 ; 17,59 ; 120,00 ; 4,80 ;
12/jul/2021;7,74072; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
13/jul/2021;7,74072; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
14/jul/2021;7,74309; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
15/jul/2021;7,74341; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
16/jul/2021;7,74478; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
17/jul/2021;7,74478; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
18/jul/2021;7,74478; 28,64 ; 27,84 ; 22,82 ; 17,09 ; 120,00 ; 4,80 ;
19/jul/2021;7,74535; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
20/jul/2021;7,74279; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
21/jul/2021;7,74457; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
22/jul/2021;7,74615; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
23/jul/2021;7,74671; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
24/jul/2021;7,74671; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
25/jul/2021;7,74671; 28,34 ; 27,54 ; 22,55 ; 17,32 ; 120,00 ; 4,80 ;
26/jul/2021;7,74425; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
27/jul/2021;7,74312; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
28/jul/2021;7,74328; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
29/jul/2021;7,74762; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
30/jul/2021;7,74751; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
31/jul/2021;7,74751; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
01/ago/2021;7,74751; 28,09 ; 27,29 ; 22,10 ; 16,82 ; 120,00 ; 4,80 ;
02/ago/2021;7,74846; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
03/ago/2021;7,74181; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
04/ago/2021;7,74579; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
05/ago/2021;7,74765; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
06/ago/2021;7,74821; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
07/ago/2021;7,74821; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
08/ago/2021;7,74821; 29,10 ; 28,28 ; 23,10 ; 17,32 ; 120,00 ; 4,80 ;
09/ago/2021;7,74671; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
10/ago/2021;7,74134; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
11/ago/2021;7,73950; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
12/ago/2021;7,73969; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
13/ago/2021;7,73802; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
14/ago/2021;7,73802; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
15/ago/2021;7,73802; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
16/ago/2021;7,73802; 29,09 ; 28,27 ; 23,09 ; 17,02 ; 120,00 ; 4,80 ;
17/ago/2021;7,73577; 28,80 ; 28,00 ; 22,80 ; 17,02 ; 120,00 ; 4,80 ;
18/ago/2021;7,73522; 28,80 ; 28,00 ; 22,80 ; 17,02 ; 120,00 ; 4,80 ;
19/ago/2021;7,73636; 28,80 ; 28,00 ; 22,80 ; 17,02 ; 120,00 ; 4,80 ;
20/ago/2021;7,73501; 28,80 ; 28,00 ; 22,80 ; 17,02 ; 120,00 ; 4,80 ;
21/ago/2021;7,73501; 28,80 ; 28,00 ; 22,80 ; 17,02 ; 120,00 ; 4,80 ;
22/ago/2021;7,73501; 28,80 ; 28,00 ; 22,80 ; 17,02 ; 120,00 ; 4,80 ;
23/ago/2021;7,73248; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
24/ago/2021;7,73216; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
25/ago/2021;7,73273; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
26/ago/2021;7,73256; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
27/ago/2021;7,73179; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
28/ago/2021;7,73179; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
29/ago/2021;7,73179; 28,79 ; 27,99 ; 22,79 ; 16,67 ; 120,00 ; 4,80 ;
30/ago/2021;7,72752; 28,79 ; 27,99 ; 22,79 ; 17,57 ; 120,00 ; 4,80 ;
31/ago/2021;7,72957; 28,79 ; 27,99 ; 22,79 ; 17,57 ; 120,00 ; 4,80 ;
01/sep/2021;7,73080; 28,79 ; 27,99 ; 22,79 ; 17,57 ; 120,00 ; 4,80 ;
02/sep/2021;7,73415; 28,79 ; 27,99 ; 22,79 ; 17,57 ; 120,00 ; 4,80 ;
03/sep/2021;7,73213; 28,79 ; 27,99 ; 22,79 ; 17,57 ; 120,00 ; 4,80 ;
04/sep/2021;7,73213; 28,79 ; 27,99 ; 22,79 ; 17,57 ; 120,00 ; 4,80 ;
