;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;
;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;
29/mar/2022;7,67830; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
30/mar/2022;7,68052; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 142,00 ; 5,68 ;;;
31/mar/2022;7,68025; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 142,00 ; 5,68 ;;;
01/abr/2022;7,67947; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 122,00 ; 4,88 ;;;
02/abr/2022;7,67947; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 122,00 ; 4,88 ;;;
03/abr/2022;7,67947; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 122,00 ; 4,88 ;;;
04/abr/2022;7,67499; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 122,00 ; 4,88 ;;;
05/abr/2022;7,67298; 38,91 ; 38,31 ; 37,39 ; 25,10 ; 122,00 ; 4,88 ;;;
06/abr/2022;7,67500; 37,98 ; 35,09 ; 32,25 ; 23,66 ; 122,00 ; 4,88 ;;;
07/abr/2022;7,66993; 37,98 ; 35,09 ; 32,25 ; 23,66 ; 122,00 ; 4,88 ;;;
08/abr/2022;7,66874; 37,98 ; 35,09 ; 32,25 ; 23,66 ; 122,00 ; 4,88 ;;;
09/abr/2022;7,66874; 37,98 ; 35,09 ; 32,25 ; 23,66 ; 122,00 ; 4,88 ;;;
10/abr/2022;7,66874; 37,98 ; 35,09 ; 32,25 ; 23,66 ; 122,00 ; 4,88 ;;;
11/abr/2022;7,66512; 37,98 ; 35,09 ; 32,25 ; 23,66 ; 122,00 ; 4,88 ;;;
12/abr/2022;7,66356; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
13/abr/2022;7,65901; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
14/abr/2022;7,65901; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
15/abr/2022;7,65901; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
16/abr/2022;7,65901; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
17/abr/2022;7,65901; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
18/abr/2022;7,65849; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
19/abr/2022;7,65599; 37,37 ; 34,23 ; 32,08 ; 22,94 ; 122,00 ; 4,88 ;;;
20/abr/2022;7,65576; 37,66 ; 34,65 ; 32,65 ; 22,94 ; 122,00 ; 4,88 ;;;
21/abr/2022;7,65446; 37,66 ; 34,65 ; 32,65 ; 22,94 ; 122,00 ; 4,88 ;;;
22/abr/2022;7,65309; 37,66 ; 34,65 ; 32,65 ; 22,94 ; 122,00 ; 4,88 ;;;
23/abr/2022;7,65309; 37,66 ; 34,65 ; 32,65 ; 22,94 ; 122,00 ; 4,88 ;;;
24/abr/2022;7,65309; 37,66 ; 34,65 ; 32,65 ; 22,94 ; 122,00 ; 4,88 ;;;
25/abr/2022;7,65090; 37,66 ; 34,65 ; 32,65 ; 22,94 ; 122,00 ; 4,88 ;;;
