;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;;
;;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;;
04/abr/2024;7,78751; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
05/abr/2024;7,78540; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
06/abr/2024;7,78540; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
07/abr/2024;7,78540; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
08/abr/2024;7,78505; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
09/abr/2024;7,77785; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
10/abr/2024;7,78365; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
11/abr/2024;7,78253; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
12/abr/2024;7,77944; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
13/abr/2024;7,77944; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
14/abr/2024;7,77944; 35,64 ; 34,14 ; 30,21 ; 19,59 ; 115,00 ; 4,60 ;;;;
15/abr/2024;7,77181; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
16/abr/2024;7,77527; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
17/abr/2024;7,77342; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
18/abr/2024;7,77951; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
19/abr/2024;7,77815; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
20/abr/2024;7,77815; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
21/abr/2024;7,77815; 35,68 ; 34,18 ; 30,17 ; 19,29 ; 115,00 ; 4,60 ;;;;
22/abr/2024;7,77084; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
23/abr/2024;7,77111; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
24/abr/2024;7,78057; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
25/abr/2024;7,77530; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
26/abr/2024;7,77641; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
27/abr/2024;7,77641; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
28/abr/2024;7,77641; 35,17 ; 33,67 ; 29,81 ; 19,89 ; 115,00 ; 4,60 ;;;;
29/abr/2024;7,77011; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
30/abr/2024;7,77182; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
01/may/2024;7,77182; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
02/may/2024;7,77320; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
03/may/2024;7,77465; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
04/may/2024;7,77465; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
05/may/2024;7,77465; 34,51 ; 33,06 ; 29,24 ; 20,19 ; 115,00 ; 4,60 ;;;;
06/may/2024;7,76736; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
07/may/2024;7,76738; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
08/may/2024;7,76697; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
09/may/2024;7,76473; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
10/may/2024;7,76748; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
11/may/2024;7,76748; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
12/may/2024;7,76748; 34,17 ; 32,67 ; 28,86 ; 21,69 ; 115,00 ; 4,60 ;;;;
13/may/2024;7,76288; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
14/may/2024;7,76071; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
15/may/2024;7,76407; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
16/may/2024;7,77139; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
17/may/2024;7,76584; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
18/may/2024;7,76584; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
19/may/2024;7,76584; 33,61 ; 32,11 ; 28,30 ; 21,69 ; 115,00 ; 4,60 ;;;;
20/may/2024;7,75929; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
21/may/2024;7,76599; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
22/may/2024;7,76775; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
23/may/2024;7,76412; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
24/may/2024;7,77052; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
25/may/2024;7,77052; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
26/may/2024;7,77052; 33,01 ; 31,51 ; 27,88 ; 21,69 ; 115,00 ; 4,60 ;;;;
27/may/2024;7,76498; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
28/may/2024;7,76740; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
29/may/2024;7,77129; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
30/may/2024;7,76909; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
31/may/2024;7,76756; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
01/jun/2024;7,76756; 32,88 ; 31,37 ; 27,63 ; 21,69 ; 115,00 ; 4,60 ;;;;
