FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
31/may/2023;7,83014; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
01/jun/2023;7,83660; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
02/jun/2023;7,83809; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
03/jun/2023;7,83809; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
04/jun/2023;7,83809; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
05/jun/2023;7,82959; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
06/jun/2023;7,82919; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
07/jun/2023;7,83743; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
08/jun/2023;7,83755; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
09/jun/2023;7,83852; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
10/jun/2023;7,83852; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
11/jun/2023;7,83852; 33,30 ; 31,97 ; 26,56 ; 16,67 ; 115,00 ; 4,60 ;;;;
12/jun/2023;7,83317; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 115,00 ; 4,60 ;;;;
13/jun/2023;7,83321; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 115,00 ; 4,60 ;;;;
14/jun/2023;7,83379; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 115,00 ; 4,60 ;;;;
15/jun/2023;7,83909; 33,10 ; 31,78 ; 26,30 ; 17,52 ; 115,00 ; 4,60 ;;;;
